zone_name,variable,mean,min,max
1. Northwest Extreme Heat Zone (Dry Hot Plains),cdd,8.319773532781781,7.525234310650368,9.022799084397882
1. Northwest Extreme Heat Zone (Dry Hot Plains),heat_index,29.55670935568902,28.428814686414526,30.659859753527183
1. Northwest Extreme Heat Zone (Dry Hot Plains),heatstroke_hazard,0.0536030272512783,0.008700002751096914,0.09449233980874938
1. Northwest Extreme Heat Zone (Dry Hot Plains),humidity,78.93331412901675,70.81692345342684,82.51564630368453
1. Northwest Extreme Heat Zone (Dry Hot Plains),temperature,25.703121115234595,25.032098784765452,26.615585863821536
1. Northwest Extreme Heat Zone (Dry Hot Plains),wbgt_shade,23.71948429463323,23.142321244979268,24.24826263128004
1. Northwest Extreme Heat Zone (Dry Hot Plains),wbgt_sun,24.67712207413371,24.067783589801707,25.236255026414227
1. Northwest Extreme Heat Zone (Dry Hot Plains),wet_bulb,22.86935422866122,22.332416585070902,23.43681989971454
2. Central Urban Heat Zone (Urban Heat-Island Region),cdd,8.816747502465892,8.27314053200396,9.150700949647671
2. Central Urban Heat Zone (Urban Heat-Island Region),heat_index,29.63080201164099,29.32955208234945,30.937342273752204
2. Central Urban Heat Zone (Urban Heat-Island Region),heatstroke_hazard,0.01966736482194045,0.008049336317702702,0.07167755497257133
2. Central Urban Heat Zone (Urban Heat-Island Region),humidity,74.32209081722684,70.4062309267736,81.63406208927852
2. Central Urban Heat Zone (Urban Heat-Island Region),temperature,26.333373858002595,25.596777303511583,26.70653811152612
2. Central Urban Heat Zone (Urban Heat-Island Region),wbgt_shade,23.86373340434605,23.703576850177466,24.547870644774846
2. Central Urban Heat Zone (Urban Heat-Island Region),wbgt_sun,24.82478867749557,24.662443058254457,25.534662031024396
2. Central Urban Heat Zone (Urban Heat-Island Region),wet_bulb,22.805316067064677,22.527659829276814,23.744356547305784
3. Southwest Hot-Dry Zone (Drought or Saline),cdd,9.052788298392276,8.735560864606743,9.534623113332964
3. Southwest Hot-Dry Zone (Drought or Saline),heat_index,31.04514698022957,30.55378995248886,31.912948926911
3. Southwest Hot-Dry Zone (Drought or Saline),heatstroke_hazard,0.08997603165500956,0.07298256643097302,0.10756921580015315
3. Southwest Hot-Dry Zone (Drought or Saline),humidity,79.21138144632407,76.27433088751093,80.70331318869984
3. Southwest Hot-Dry Zone (Drought or Saline),temperature,26.458617705109628,26.12084540983248,27.191154436714584
3. Southwest Hot-Dry Zone (Drought or Saline),wbgt_shade,24.476056743977068,24.163223528802053,24.943107910071898
3. Southwest Hot-Dry Zone (Drought or Saline),wbgt_sun,25.459540318187358,25.1625995687743,25.913328945392312
3. Southwest Hot-Dry Zone (Drought or Saline),wet_bulb,23.626387760634543,23.303862407625747,24.15228083220266
4. Coastal Humid Heat Zone (Coastal Belt),cdd,9.000308961578908,8.460463063350844,9.289883117259008
4. Coastal Humid Heat Zone (Coastal Belt),heat_index,30.606125907396397,29.45306975399483,31.458548493635835
4. Coastal Humid Heat Zone (Coastal Belt),heatstroke_hazard,0.03724981312633242,0.00876037288023647,0.07154507023116397
4. Coastal Humid Heat Zone (Coastal Belt),humidity,79.84486966668935,72.58230640896731,81.66877789184531
4. Coastal Humid Heat Zone (Coastal Belt),temperature,26.442674151449047,25.9040192667136,26.932462969065927
4. Coastal Humid Heat Zone (Coastal Belt),wbgt_shade,24.52750315674382,23.90082334667078,24.89323142009783
4. Coastal Humid Heat Zone (Coastal Belt),wbgt_sun,25.516050083050136,24.88573068937549,25.87704719330553
4. Coastal Humid Heat Zone (Coastal Belt),wet_bulb,23.706715587584437,22.76544536637122,24.14849730741862
5. Haor or Wetland Humid Zone (Haor Basin),cdd,7.0123932894226595,5.458176616616272,8.217552404116333
5. Haor or Wetland Humid Zone (Haor Basin),heat_index,27.97974207761862,25.974427030898926,29.504531218869676
5. Haor or Wetland Humid Zone (Haor Basin),heatstroke_hazard,0.011054311593503285,0.001101207103639555,0.02133587950460654
5. Haor or Wetland Humid Zone (Haor Basin),humidity,81.71307685670702,80.97443092613695,82.27485782717172
5. Haor or Wetland Humid Zone (Haor Basin),temperature,25.033726655124063,24.055822764798037,25.74135905902988
5. Haor or Wetland Humid Zone (Haor Basin),wbgt_shade,23.340729322106938,22.42066647522347,24.01206783123838
5. Haor or Wetland Humid Zone (Haor Basin),wbgt_sun,24.25236011859665,23.30543222878954,24.93919016376219
5. Haor or Wetland Humid Zone (Haor Basin),wet_bulb,22.61515903652817,21.719885208262937,23.270943019327735
6. Hill Tract Zone (Elevated Terrain),cdd,8.623553537749066,8.514379439883887,8.780387144720665
6. Hill Tract Zone (Elevated Terrain),heat_index,29.90914854449146,29.321117508768594,30.285009020962622
6. Hill Tract Zone (Elevated Terrain),heatstroke_hazard,0.011331033204969296,0.007279492186719393,0.014281203934007072
6. Hill Tract Zone (Elevated Terrain),humidity,78.87031339072615,78.43920176811062,79.58281156288184
6. Hill Tract Zone (Elevated Terrain),temperature,26.356890189368674,26.063313680943477,26.522599188314725
6. Hill Tract Zone (Elevated Terrain),wbgt_shade,24.35017452171282,24.128747503327634,24.48867900611353
6. Hill Tract Zone (Elevated Terrain),wbgt_sun,25.363057083190697,25.128747811879634,25.512824877972644
6. Hill Tract Zone (Elevated Terrain),wet_bulb,23.490153521288885,23.29964771292086,23.616998928027297
