dataset_name,geojson_adm2_en,verified
Bagerhat,Bagerhat,assumed
Bandarban,Bandarban,assumed
Barguna,Barguna,assumed
Barisal,Barishal,yes
Bhola,Bhola,assumed
Bogra,Bogura,yes
Brahmanbaria,Brahamanbaria,yes
Chandpur,Chandpur,assumed
Chittagong,Chattogram,yes
Chuadanga,Chuadanga,assumed
Comilla,Cumilla,yes
Cox_s Bazar,Cox's Bazar,yes
Dhaka,Dhaka,assumed
Dinajpur,Dinajpur,assumed
Faridpur,Faridpur,assumed
Feni,Feni,assumed
Gaibandha,Gaibandha,assumed
Gazipur,Gazipur,assumed
Gopalganj,Gopalganj,assumed
Habiganj,Habiganj,assumed
Jamalpur,Jamalpur,assumed
Jessore,Jashore,yes
Jhalokati,Jhalokati,assumed
Jhenaidah,Jhenaidah,assumed
Joypurhat,Joypurhat,assumed
Khagrachhari,Khagrachhari,assumed
Khulna,Khulna,assumed
Kishoreganj,Kishoreganj,assumed
Kurigram,Kurigram,assumed
Kushtia,Kushtia,assumed
Lakshmipur,Lakshmipur,assumed
Lalmonirhat,Lalmonirhat,assumed
Madaripur,Madaripur,assumed
Magura,Magura,assumed
Manikganj,Manikganj,assumed
Meherpur,Meherpur,assumed
Moulvibazar,Maulvibazar,yes
Munshiganj,Munshiganj,assumed
Mymensingh,Mymensingh,assumed
Naogaon,Naogaon,assumed
Narail,Narail,assumed
Narayanganj,Narayanganj,assumed
Narsingdi,Narsingdi,assumed
Natore,Natore,assumed
Nawabganj,Chapai Nawabganj,yes
Netrakona,Netrakona,assumed
Nilphamari,Nilphamari,assumed
Noakhali,Noakhali,assumed
Pabna,Pabna,assumed
Panchagarh,Panchagarh,assumed
Patuakhali,Patuakhali,assumed
Pirojpur,Pirojpur,assumed
Rajbari,Rajbari,assumed
Rajshahi,Rajshahi,assumed
Rangamati,Rangamati,assumed
Rangpur,Rangpur,assumed
Satkhira,Satkhira,assumed
Shariatpur,Shariatpur,assumed
Sherpur,Sherpur,assumed
Sirajganj,Sirajganj,assumed
Sunamganj,Sunamganj,assumed
Sylhet,Sylhet,assumed
Tangail,Tangail,assumed
Thakurgaon,Thakurgaon,assumed
